6012,0.001,0.120714900028,0.0753450646643,0.152664964816,0.18972589423,0.0954233928205,0.191662580737
12024,0.002,0.345329416542,0.23191322856,0.405166247454,0.352162320833,0.193252824564,0.366126025872
18036,0.003,0.521565681455,0.391217739655,0.599639173495,0.475898290201,0.290553882335,0.481201568867
24048,0.004,0.674432180784,0.545870172424,0.769117194968,0.587318193583,0.391998724642,0.584274096645
30060,0.005,0.809541862387,0.677689104581,0.92120139559,0.691845300367,0.478977247718,0.690767700968
36072,0.006,0.912752957934,0.776573701191,1.03204762649,0.768802012702,0.540597431342,0.758914127648
42084,0.007,0.975771606682,0.836860371909,1.08205545472,0.806257632992,0.564483892753,0.771470005304
48096,0.008,1.04819058854,0.870503196048,1.11231351588,0.845258258244,0.569380752597,0.761495976912
54108,0.009,1.13702594095,0.921184736691,1.18951019508,0.907754767723,0.577768198014,0.804417414151
60120,0.01,1.27821314021,1.00128830738,1.27598926552,1.01993196519,0.620545197019,0.863982963652
66132,0.011,1.38338878319,1.06720411017,1.3392711183,1.10285621661,0.670728330786,0.931577775563
72144,0.012,1.48177325173,1.1093251397,1.38007994678,1.18881261842,0.703520703403,0.992039225143
78156,0.013,1.55443532286,1.13878274067,1.39989843125,1.25193233631,0.728242237924,1.02403967917
84168,0.014,1.60553835943,1.14023724802,1.41990155704,1.29354173912,0.722238861558,1.06018121336
90180,0.015,1.70111045804,1.17629470727,1.48121917157,1.40031524443,0.768844154773,1.13277296163
96192,0.016,1.79381817508,1.2248210762,1.55120617701,1.48677083798,0.836425245546,1.21347569525
102204,0.017,1.86546324902,1.2973211328,1.65245798128,1.57425021284,0.928433213232,1.35135408034
108216,0.018,1.87681887187,1.32637289671,1.70500587365,1.55693892162,0.95936084682,1.39831655334
114228,0.019,1.83706355039,1.3214220249,1.68109440021,1.48275628876,0.939231786322,1.35422574148
120240,0.02,1.79118183783,1.29657658148,1.64403391298,1.39539080054,0.886601118749,1.27950407705
126252,0.021,1.78351246636,1.26799056613,1.60942364176,1.34158439259,0.831457788486,1.21297043046
132264,0.022,1.84903321136,1.27661456237,1.66836750798,1.33088993614,0.781895224581,1.24156478865
138276,0.023,2.0209036528,1.33052316596,1.81231185164,1.42981664963,0.781152643973,1.35122423325
144288,0.024,2.26326018318,1.45154952873,1.98334572676,1.6304952113,0.914021386249,1.48389636987
150300,0.025,2.53313061654,1.56472221735,2.22457201543,1.84118549005,1.02265983591,1.6792537519
156312,0.026,2.82313594781,1.71840406548,2.51332902613,2.03303106646,1.15887531795,1.90583801688
162324,0.027,3.08681973731,1.87406721968,2.74817644871,2.18361157648,1.27534284738,2.01256954931
168336,0.028,3.37504045209,2.07253311961,2.94404789658,2.37343862312,1.41595182358,2.04325786718
174348,0.029,3.8476600303,2.34790030205,3.33051800963,2.78353768943,1.67890032676,2.26006501076
180360,0.03,4.5164127504,2.78257952009,4.09513384903,3.27638458919,2.00332196608,2.82043246894
186372,0.031,5.58290785075,3.48604910813,5.28146146291,4.16939124296,2.47107471378,3.74882402852
192384,0.032,7.48221325982,4.81340854094,7.32691711487,5.52984200905,3.44901555678,5.4278276391
198396,0.033,10.8140703461,6.97489510069,11.0973787203,8.13841071557,5.25953387095,8.66860984636
204408,0.034,16.2029231402,10.961358297,17.4671447913,12.0106156678,8.13152153068,13.8967253687
210420,0.035,26.7152220751,18.8735696844,28.7001577483,19.8809577305,13.9688303786,23.6240206086
216432,0.036,55.4877202503,38.8758172622,55.2088897197,42.1719966455,28.5921346131,45.6050246109
222444,0.037,118.250061074,84.3822347232,111.332746901,90.0525049988,58.3257639105,85.4128669962
228456,0.038,300.069761993,205.49618333,274.300523882,224.281041781,142.11034404,215.057942196
234468,0.039,552.51412929,420.179864516,560.690319743,417.796780728,309.853540214,479.989137506
240480,0.04,1342.05037338,1009.18997298,1417.25214349,970.590781204,699.839416824,1225.16387376
246492,0.041,1665.66707668,1207.67169205,1703.16505242,1208.82230413,833.25253671,1288.21077555
252504,0.042,2402.45276913,1773.49877558,2457.48042859,1757.76382446,1243.53994653,1769.63755476
258516,0.043,2379.66528887,1729.8357238,2435.7735104,1653.55708444,1189.72079397,1765.18048549
264528,0.044,3631.11730002,2601.49629459,3770.19646796,2407.88439854,1917.06272824,2737.34883963
270540,0.045,3864.72171422,2773.55453015,4051.83316785,2505.1432472,2059.17629372,2804.27837243
276552,0.046,4867.59977294,3513.60034167,5078.68017486,3252.323036,2619.06085564,3458.21649601
282564,0.047,6162.7423691,4727.80265037,6607.04100438,4074.98357077,3398.09732524,4484.76945216
288576,0.048,7469.33233254,6148.63258118,8284.14483056,4908.67603807,4373.28344806,5611.54733263
294588,0.049,8988.24020349,7484.50174215,10085.3855669,5781.64632904,5106.49878692,6532.65448567
300600,0.05,9106.28600101,7596.84190189,10078.9397206,5964.62479283,5019.09345787,6580.2688941
306612,0.051,10914.3608854,8750.2074393,11972.4992587,6922.90931644,5540.54907585,7491.06499547
312624,0.052,10635.8480297,8325.01342781,11487.0117665,6744.21360495,5427.3523749,7141.6628559
318636,0.053,11856.1193988,9204.48768423,12755.5461688,7303.29250211,5805.53432693,7646.9012596
