301,5.00665335995e-05,0.656722102488,0.85935650968
602,0.000100133067199,1.94753639609,2.40710977009
903,0.000150199600798,2.85003235884,3.39241850364
1204,0.000200266134398,3.33629322407,3.92175483819
1505,0.000250332667997,3.54012574089,4.09194735449
1806,0.000300399201597,3.57560181463,4.02293917756
2107,0.000350465735196,3.51067752369,3.78747321854
2408,0.000400532268796,3.43424914537,3.61670122639
2709,0.000450598802395,3.41033219633,3.51735928254
3010,0.000500665335995,3.52400562824,3.5018055643
3311,0.000550731869594,3.71532524212,3.51438011427
3612,0.000600798403194,4.02280013283,3.79299716054
3913,0.000650864936793,4.24090664344,4.11788868381
4214,0.000700931470393,4.481237684,4.4332525506
4515,0.000750998003992,4.71767705188,4.71401357584
4816,0.000801064537591,4.82351873,4.76587273121
5117,0.000851131071191,5.08130415926,5.07105708963
5418,0.00090119760479,5.29386220456,5.35158386226
5719,0.00095126413839,5.30939395245,5.28681842916
6013,0.001000166334,5.11372623804,4.94583347668
