200,3.32667997339e-05,0.00540702781469,0.0020571099097,5.396235344,2.0530039019
400,6.65335994677e-05,0.00545410227897,0.00220977021726,5.44321584727,2.20535949826
600,9.98003992016e-05,0.00564114051512,0.00251864264118,5.62988075361,2.51361541036
800,0.000133067198935,0.00595239791072,0.00298824643715,5.94051687697,2.9822818734
1000,0.000166333998669,0.00632419401892,0.00355011172366,6.31157087716,3.54302567232
1200,0.000199600798403,0.0066784398119,0.00406572952978,6.66510959271,4.05761430117
1400,0.000232867598137,0.00705932755978,0.00455966408871,7.0452370856,4.55056296278
1600,0.000266134397871,0.00741768047393,0.00502795621788,7.40287472448,5.01792037713
1800,0.000299401197605,0.0077171929911,0.00543011452976,7.70178941228,5.4192759778
2000,0.000332667997339,0.00796673517397,0.00576984137555,7.95083350695,5.7583247261
2200,0.000365934797073,0.00820050407524,0.00609637550787,8.18413580363,6.08420709368
2400,0.000399201596806,0.00846237608591,0.00645395104746,8.44548511568,6.44106890964
2600,0.00043246839654,0.00873974982044,0.00681028908931,8.72230521002,6.79669569792
2800,0.000465735196274,0.00906683464607,0.00720478855865,9.04873717173,7.19040774316
3000,0.000499001996008,0.00969270048184,0.00795968030985,9.67335377429,7.9437927244
3200,0.000532268795742,0.0102571603823,0.0086340438935,10.2366870083,8.61681027296
3400,0.000565535595476,0.0106322147298,0.00908488002277,10.6109927443,9.06674652971
3600,0.00059880239521,0.0109712101198,0.00951633111069,10.9493114968,9.49733643781
3800,0.000632069194943,0.0111572606884,0.00978773299849,11.134990707,9.76819660528
4000,0.000665335994677,0.0113709102401,0.0100234792727,11.3482138125,10.003472328
4200,0.000698602794411,0.0116963003691,0.0103114358884,11.6729544602,10.2908541801
4400,0.000731869594145,0.0120644394913,0.0106900315874,12.0403587737,10.668694199
4600,0.000765136393879,0.0124126144419,0.0110846085934,12.3878387644,11.0624836261
4800,0.000798403193613,0.0126749630559,0.0113744685722,12.6496637284,11.3517650421
5000,0.000831669993347,0.0128400500276,0.0115594016186,12.8144211853,11.5363289607
5200,0.000864936793081,0.0129948291809,0.01165989776,12.9688913981,11.6366245109
5400,0.000898203592814,0.0131606597095,0.0117335179046,13.1343909276,11.7100977092
5600,0.000931470392548,0.0133194204562,0.0118132245865,13.2928347866,11.7896452959
5800,0.000964737192282,0.0134369250781,0.0119088100314,13.4101048684,11.8850399515
6000,0.000998003992016,0.0134548087267,0.0119052997209,13.4279528211,11.8815366476
6200,0.00103127079175,0.0134662360626,0.0118921403463,13.4393573479,11.8684035392
6400,0.00106453759148,0.0134240914485,0.011770919083,13.3972968547,11.7474242345
6600,0.00109780439122,0.0133331633994,0.0115981348195,13.3065502988,11.5749848498
6800,0.00113107119095,0.0132008456694,0.0114181568786,13.1744966761,11.3953661463
7000,0.00116433799069,0.0131556565498,0.0113851296162,13.1293977543,11.3624048065
7200,0.00119760479042,0.0130459421335,0.0112284210185,13.0199023289,11.2060090005
7400,0.00123087159015,0.012976761415,0.0110981335822,12.9508596956,11.075981619
7600,0.00126413838989,0.0128754374819,0.0109697062402,12.8497380058,10.947810619
7800,0.00129740518962,0.0127668841029,0.0108555501844,12.7414013003,10.8338824195
8000,0.00133067198935,0.0126049469023,0.0106645235196,12.5797873276,10.6432370455
8200,0.00136393878909,0.0124159803718,0.0104934072181,12.3911979759,10.4724622935
8400,0.00139720558882,0.0122183980837,0.0103356412004,12.1940100635,10.3150111781
8600,0.00143047238856,0.012039431191,0.0101963236235,12.0154003902,10.1759716801
8800,0.00146373918829,0.0118881746073,0.0100687423439,11.8644457159,10.0486450538
9000,0.00149700598802,0.0119749656683,0.0100190868346,11.9510635412,9.99908865732
9200,0.00153027278776,0.0121239792667,0.0100547844407,12.0997797073,10.0347150106
9400,0.00156353958749,0.0122504809439,0.0101680180623,12.2260288861,10.147722617
9600,0.00159680638723,0.0123665880047,0.0102419385399,12.3419041963,10.2214955488
9800,0.00163007318696,0.0124133730386,0.0102771112649,12.3885958469,10.2565980688
10000,0.00166333998669,0.0124672582638,0.0103501347751,12.4423735168,10.3294758235
10200,0.00169660678643,0.012614697469,0.0104879143675,12.5895184321,10.4669804067
10400,0.00172987358616,0.0128316864191,0.0107102750284,12.8060742706,10.6888972339
10600,0.00176314038589,0.0130500401336,0.010905847227,13.0239921493,10.8840790689
10800,0.00179640718563,0.0133526543017,0.0112276412729,13.3260022971,11.2052308113
11000,0.00182967398536,0.0136904320755,0.0115421200331,13.6631058637,11.5190818694
11200,0.0018629407851,0.014125083583,0.012002531682,14.0968898034,11.978574533
11400,0.00189620758483,0.0143171104465,0.0122192370069,14.2885333798,12.1948473123
11600,0.00192947438456,0.0144251186786,0.0123375592835,14.3963260265,12.3129334167
11800,0.0019627411843,0.0147082862843,0.0126169664262,14.6789284274,12.5917828605
12000,0.00199600798403,0.015257512772,0.013213853092,15.2270586547,13.1874781358
12200,0.00202927478377,0.0155084657143,0.0134221826575,15.4775106929,13.3953918738
12400,0.0020625415835,0.0157017965507,0.0135097421781,15.6704556394,13.4827766248
12600,0.00209580838323,0.0160036192559,0.0137421312692,15.9716759041,13.7147018654
12800,0.00212907518297,0.0160532312591,0.0137253717886,16.0211888813,13.6979758369
13000,0.0021623419827,0.016170290194,0.0138077324721,16.1380141657,13.7801721279
13200,0.00219560878244,0.0163677965698,0.0140245224903,16.3351263172,13.9965294315
13400,0.00222887558217,0.0166609158771,0.0144126572943,16.627660556,14.3838895153
13600,0.0022621423819,0.0167573376604,0.0146128030589,16.7238898806,14.5836357873
